sentence,startTime
if you want to effectively prospect,0:00
using linkedin messaging there's some,0:02
do's and don'ts that you need to know,0:03
leslie what's the first don't first,0:05
don't do not connect and pitch don't hit,0:08
them with a pitch slap no one likes it,0:10
you want to show up and add value a,0:13
couple times before you show up in their,0:14
inbox i like it something you should do,0:16
is use your linkedin message to point to,0:18
your personalized email so you're,0:20
switching channels directing traffic and,0:22
letting them know where they can get a,0:24
hold of you the next don't is don't,0:25
guilt trip most decision makers do not,0:27
respond to messages like per my previous,0:30
email or i never heard back from you,0:33
no one wants to be guilted don't lead,0:36
with it do keep it short and sweet three,0:37
to five sentences max and a good,0:41
indicator is think of the scroll rule so,0:43
if someone's reading on their mobile,0:45
phone they should be able to read the,0:46
whole message with one two scrolls max i,0:48
know it's tempting the next don't is,0:51
don't copy marketing jargon you don't,0:53
want to take that white page no matter,0:56
how fabulous it is and copy paste right,0:58
into your message,1:00
and the last do is be casual but,1:02
professional you are on a social media,1:05
platform so it's okay to use pronouns,1:07
like you your team your goals if you,1:09
want more advice for effective,1:12
prospecting make sure you hit like and,1:13
subscribe,1:15
