sentence,startTime
oh sure can dissect it um i think,0:00
there's all these,0:03
i want to say like cliche comments when,0:05
we talk about,0:07
um,0:09
goal setting and i'm sure like give me a,0:10
one in the chat have you heard like,0:13
boiling the ocean or how do you eat an,0:14
elephant one bite at a time right like,0:17
anyone um,0:19
when we are thinking about,0:21
our numbers for our team for ourselves,0:24
a lot of this comes down to,0:27
it can become overwhelming when the,0:31
pressure is on and we're looking at this,0:33
huge hill that we have to climb whether,0:36
it's revenue or daily activity or,0:39
just deliverables in general,0:44
how can we make it smaller micro micro,0:47
goals it's much more attainable um,0:50
anyone a fan of the book atomic habits,0:53
james clear does a phenomenal job about,0:56
explaining this if we can just take it,0:59
like one day at a time,1:02
it's hard to see,1:04
that we can achieve something when it's,1:06
too big and we can't understand it like,1:08
space is ginormous but can i think about,1:11
you know,1:14
north america,1:15
can i think about north carolina can i,1:17
think about my cul-de-sac or whatever it,1:19
is if i can bring it down,1:22
to just what's right here right now,1:24
much more attainable,1:26
mindset wise and puts us all in a much,1:29
better,1:32
spot to go achieve that goal i mean a,1:33
real quick guidance on like the easiest,1:36
way to coach for the the leaders and,1:38
managers out there don't overthink this,1:40
you start with what went well and then,1:42
you go to what didn't go well and the,1:44
thing that didn't go well you talk about,1:46
how it's going to go well next time like,1:47
that basic basic framework works for,1:50
almost any coaching conversation now,1:53
what gets lost a lot in the coaching,1:56
conversation in addition to being,1:57
positive like you said it all runs,2:00
downhill like you as a leader need to be,2:02
that umbrella that's blocking that to,2:04
your team right and and when you block,2:06
it you also create a framework around,2:09
how you're going to help that rep in,2:11
those one-on-one conversations,2:14
and so,2:16
the one of the big misses is that,2:17
conversation is only around pipeline,2:19
there's more to the role than pipeline,2:22
it's a huge part important part but,2:23
there can be more to it the second part,2:25
is nothing is documented in that,2:27
conversation and so there's no real,2:29
action item that comes off of it where,2:31
there's accountability and and,2:33
oftentimes for me that is on me hey if,2:35
leslie's on my team hey leslie i'm going,2:38
to email james,2:40
uh because we're stuck in this account,2:42
and i'm going to help you as your leader,2:44
and then the last part it needs to be,2:46
metric driven like make the,2:48
kpis all in one place where everybody,2:50
knows how you're performing it's not a,2:52
mystery so create a structure,2:55
uh or be well first be that umbrella,2:58
create that structure share the positive,3:00
with the constructive and make sure it's,3:03
documented and there's action items and,3:05
metrics that come off of it why does all,3:07
that stuff matter people want to know,3:09
where they stand uncertainty,3:11
breeds chaos right and so if somebody,3:14
doesn't know where they stand,3:17
then uh they're insecure in their role,3:19
and they're not going to perform well so,3:22
good or bad that needs to be transparent,3:23
and,3:26
as you can tell this is a pretty core,3:27
thing to us at ambition,3:29
so the question is how do we coach to,3:31
the individual's motivate motivation,3:32
because a 22 year old live at home,3:34
seller isn't the same as a 42 year old,3:36
father of three sellers right they're,3:38
motivated differently thank you uh,3:40
there's a quick answer to this you ask,3:42
them,3:44
people way overweight yeah way overthink,3:45
the the motivation or they always assume,3:48
it's money like for me it really isn't,3:51
financial i want to win now i want to be,3:54
compensated fairly and i know what that,3:57
