sentence,startTime
let's kick this off i want to talk about,0:00
hooks,0:01
hooks have a special meaning gb when you,0:02
think about the word hooks what do you,0:05
think of,0:06
all right so i mean there's like,0:07
i just think about like how do you catch,0:10
someone like how do you capture their,0:11
attention like long enough for them to,0:13
go like what is this right so if you,0:16
think about somebody scrolling through,0:18
their email or their look the first,0:20
thing they might be doing in the morning,0:22
or after a meeting is they're looking at,0:23
their phone,0:25
like they have the option to keep on,0:26
moving but there's going to be something,0:28
that hooks their attention where they,0:29
just have to stop right and check it out,0:30
that to me is what a hook is,0:33
it's a choice to stay with the message,0:35
well the i well,0:39
me being super annoying it's like it's,0:40
that mechanism that drives somebody to,0:42
making the choice to check it out so,0:46
like,0:47
i think one of the things that i've,0:48
heard about hooks it's like all right,0:49
maybe you're scrolling through your tick,0:51
tock or an instagram reel or something,0:52
and someone goes stop right you go what,0:54
you know like so just that stop like the,0:57
fact that you stopped like that to me is,0:59
the hook or if it's like hey if you are,1:01
struggling with answering this objection,1:04
and you're like hell yeah yeah you're,1:06
right like it's that thing that goes,1:08
like this is for me,1:10
i think the preview is part of that and,1:12
we're going to talk about that later but,1:14
one of the things that i know to be true,1:15
is that before you send a single email,1:18
you got to know your icp,1:20
you got to know the people that you're,1:22
going to talk to why are you talking to,1:24
them why are they the person that's best,1:26
for this conversation i'm gonna put,1:28
something in the chat right now this is,1:30
a link to zoom info you can go start,1:32
building a list of your ideal clients,1:34
and set the parameters now because,1:36
before you send a single email you got,1:39
to know why you're sending it and who,1:40
you're sending it to this is an,1:42
extremely crucial first step in all of,1:43
sales how often is this a problem in,1:46
your world gb,1:48
um it's different than not yeah yeah,1:50
yeah yeah my bad sorry i got honestly i,1:53
saw that you were wearing a chicago hat,1:55
and i'm like thank you because that's my,1:56
hometown i got distracted a little bit,1:58
there yeah we're going to be in chicago,2:00
this week i leave tomorrow if you're in,2:01
chicago hit me up we're going to throw a,2:02
party on thursday more social than sas,2:04
what let's go let's go let's go but no,2:05
yeah i i can't say like anything but a,2:08
hundred percent it's like um i think,2:10
it's uh uh sam oh it's going to bother,2:12
me that i can't remember her name off,2:14
the top of my head right now but sam,2:15
sales right yeah mckenna sam mccann,2:17
thank you thank you but it's like she's,2:19
like show me you know me right so like,2:20
if you can show someone that you've done,2:23
your research that you've taken the time,2:25
to pull something out that like only,2:27
they,2:29
like that's only gonna be relevant to,2:30
them or only they have written they're,2:32
gonna some people reward you for that,2:33
even if you don't have a solution or a,2:35
platform or service that's super helpful,2:37
for them the fact that you've taken the,2:39
time to go all right i've i've looked at,2:40
your profile i've done some research on,2:43
your company i'm seeing some of the,2:45
initiatives that your company is focused,2:47
on and how your role might be involved,2:49
in this someone might go damn,2:50
yeah,2:54
show me you know me was the first the,2:55
first time i heard that was from sam,2:57
mckenna and i think it was at the,2:58
rainmaker conference in like 2016 2017,3:00
but that really resonated well with the,3:04
crowd i remember them thinking like,3:06
that's the stuff that gets my attention,3:07
