sentence,startTime
cool what's going on everybody welcome,0:00
I'm so excited for this session by the,0:02
way,0:04
um yeah I have a couple tips on this so,0:05
when I'm doing prep for a discovery call,0:07
one of the big things that I do that I,0:10
think is a little bit different is I'm,0:12
taking notes in the form of questions so,0:14
I'm thinking about what are the,0:17
different triggers for the thing that I,0:18
sell that I want to point out and have a,0:20
conversation with the buyer about and,0:22
what I don't want to do is take notes,0:24
where it's like okay they had an event,0:26
uh their their customer event last month,0:28
and oh this person was on a podcast,0:31
recently where they talked about needing,0:33
better data analytics and I sell a data,0:36
analytics tool what I don't want to be,0:37
doing is being in the heat of Battle of,0:39
that Discovery call and trying to figure,0:41
out okay they talked about Dana,0:44
analytics how am I going to turn that,0:46
into a discovery question I want to do,0:48
all of that prep work up front so I'm,0:50
actually taking prep notes of the,0:52
questions I'm going to ask them I'm not,0:55
going to get to every single question,0:57
but my idea here is I want want to save,0:58
cognitive brain power which I have a,1:01
limited amount of,1:03
um for for better stuff than those,1:04
questions so that's a really big one,1:06
um the other thing that I think about is,1:09
I really want to walk into that meeting,1:11
knowing what's top of mind for that,1:13
customer and so what I'm going to do is,1:15
I want to find recent LinkedIn posts,1:18
that they made a recent podcast that,1:20
they were on if I can find a YouTube,1:22
clip that they did recently my whole,1:23
goal is to figure out like what's top of,1:26
mind for this point and for this person,1:28
and point that out hey I listened to,1:30
your um your your your webinar recording,1:32
on the sell better webinar series and I,1:35
heard you say this even if it's like not,1:38
totally related to my thing I want to,1:40
signal to them that I have done my,1:42
homework because people will reciprocate,1:44
that effort the demonstration of hey I,1:47
did my work folks will say all right,1:50
this person's trying and they'll give,1:51
you way way more than if you go in and,1:53
it's obvious you haven't done your work,1:56
Charles I know you had great point about,1:58
industry can you tell us a little bit,2:01
more about that yeah I love the do we,2:03
have to do research option that is that,2:05
is I love that I love that uh yeah so,2:07
I'm gonna say two things uh one of three,2:12
things one I love Nick sigowski so he's,2:15
got great great insights so thank you,2:17
very much I learned from Nick every,2:18
single time I speak with him the second,2:20
thing I'll say is,2:22
um you know there's we should all be at,2:25
the risk of stating the obvious,2:28
there are we should be paying attention,2:30
to tracking and monitoring industry,2:32
focused research so there's there's,2:36
research on the company that we're about,2:40
to have a conversation with and there's,2:42
research on the people that we're about,2:43
to talk to all very important,2:46
um with that said we should also be,2:49
researching the industry period in,2:52
general,2:56
in between calls that's the type of,2:57
research I'm talking about the,3:00
in-between research uh similar to,3:01
nurturing for prospects but we're,3:04
nurturing our minds for ourselves and so,3:06
um signing up for if it's uh private and,3:10
just giving a a one industry as an,3:13
example,3:16
um if it's the private Equity world or,3:18
landscape or if it's a sector that any,3:21
of you are focused on the health care,3:24
sector I'm going to look at news,3:25
specific journals and sources that only,3:27
talk about health care or that only talk,3:31
