sentence,startTime
it's like the friend zone but way worse,0:00
that's all there is to it so the really,0:03
the for me like the way that i look at,0:06
the identity around someone ghosting is,0:09
that typically what's happening is just,0:11
something that's out of our control in,0:13
most cases whether it's personal,0:15
or there is a business initiative that,0:17
was going on behind the scenes that we,0:19
didn't know about right so,0:20
to me like putting a label on it to,0:22
understand more that there's uh there's,0:24
usually emotional context involved and,0:25
there are things that we can't,0:28
necessarily understand or explain,0:29
and also it,0:31
the thought about around that is to,0:33
curate your approach differently so more,0:36
empathy less hey did you get my last 17,0:38
emails you know like,0:41
that could just feel obnoxious to people,0:42
especially when it's not necessarily,0:44
their prerogative to ignore you to begin,0:46
with listen like anybody out there,0:49
that's listening i've been in sales for,0:51
15 plus years now,0:53
and i'm still a young guy okay i don't,0:55
have a lot of gray in my beard yeah,0:57
james buckley's gonna say something in,0:58
the comments here in a second about how,1:00
old i am because we've been hanging out,1:01
recently and he's like man your knees,1:03
are pretty bad bro can you even play,1:04
basketball anymore you suck old man,1:06
right so i digress the the idea though,1:09
is that i started at a young age as a,1:11
millennial and in a space where now like,1:13
pretty much every single decision maker,1:17
was like 30 years older than me when i,1:18
first got in that's how it looked and,1:20
and to myself i kept saying i must not,1:22
be relevant i must not be able to get,1:25
their attention correctly i had all,1:26
these things going on through my head,1:28
and really like an awakening for me and,1:29
understanding like what that ghosting,1:31
zone truly is is when i had somebody,1:33
finally get back to me and be like yo,1:35
just chill bro i'm gonna get back to you,1:36
like just chill and and i do it too to,1:39
people all the time and don't even mean,1:43
to in most cases so i think the one,1:44
thing that we want to understand about,1:46
the ghosting zone is that we're all,1:47
capable of becoming a victim to it and,1:49
that really it's about constant and,1:52
ongoing communication that goes beyond,1:54
your sale,1:56
and creates and provides emotional,1:57
context between the two of you as well,1:58
so that that person feels okay enough to,2:00
say something like hey my daughter just,2:02
had her baby and i'm gonna be,2:04
completely,2:07
away from my email for the next two days,2:08
sorry that i was supposed to sign your,2:10
deal tomorrow it's not going to happen,2:12
right that that proactive mindset is how,2:14
the ghosting zone for me really becomes,2:16
something that we live in constantly to,2:18
to,2:20
in a state of consistency i should say,2:21
to keep ourselves from having to suffer,2:23
inside of it,2:25
so you just have to think a little bit,2:27
bigger than what the typical playbook,2:29
would tell you right and please for the,2:32
love of god stop sending bump emails and,2:34
you know like just checking in and like,2:36
are you okay to the top of your inbox,2:38
check this out real quick yeah miranda,2:40
that's it right there check this out,2:42
real quick i just sent this email this,2:43
one works really well uh i just sent it,2:45
recently to three people i got three,2:47
responses the subject line is did you,2:49
die with a question mark now first off,2:52
be very careful about sending,2:54
that email you have to have a really,2:56
good relationship with people but think,2:58
about that for a second that i can send,3:00
that email to specific people and i know,3:02
they won't be offended i know they'll,3:04
laugh and i know they'll get back to me,3:06
right that is a deep connection right,3:08
there that's not just a hey let me send,3:10
this email and see if it works to this,3:13
random person that i'm trying to get,3:14
back in touch with right that is the,3:16
concept of proactively selling,3:18
connecting and giving people the right,3:20
kind of experience,3:21
now miranda have you ever used a,3:23
creative kind of outlet in your outreach,3:26
to really hook someone in and if so what,3:27
did you do,3:30
that's a great question i definitely,3:31
don't think i can compare to dale on any,3:33
of these but what i will say,3:34
is um something that i did that i think,3:36
has served me really well in my approach,3:39
is just humanizing myself in the process,3:41
and just being a person so the best,3:43
example i can give you is back in,3:45
december i was on a bit of a hot streak,3:47
in terms of i was still in sdr at that,3:50
point in time and i was going for our,3:51
record of the most meeting set in a day,3:53
and i was at nine and i really really,3:56
wanted to hit that ten and put myself,3:57
above just just for my own sake to,3:59
really feel proud of my performance for,4:01
the day and i was finally able to get,4:02
somebody back who had ghosted a,4:04
different um sdr of ours in the past and,4:06
really was like hey man i will i will,4:08
buy you and your significant other and,4:11
he was prepping for his anniversary,4:12
dinner with his wife and i was like let,4:14
me treat you and your wife to lunch,4:15
drinks whatever it is on me if you will,4:17
help me beat this record like this would,4:19
absolutely make or break my like sdr,4:21
career so far and ended up getting him,4:23
